observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
7f0758ac-5f3c-4857-bfb7-9222c2414b34_1,7f0758ac-5f3c-4857-bfb7-9222c2414b34,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
7fc6cb24-9a1b-4cd2-a5a0-c89e6d67107f_1,7fc6cb24-9a1b-4cd2-a5a0-c89e6d67107f,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
a7471c68-30fb-4ca0-b21e-e83b54598298_1,a7471c68-30fb-4ca0-b21e-e83b54598298,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
bb7db1c9-b135-4e69-a4e0-e392f2d107eb_1,bb7db1c9-b135-4e69-a4e0-e392f2d107eb,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
5b0ccf8a-4696-4814-8bb6-c96bb248bc3f_1,5b0ccf8a-4696-4814-8bb6-c96bb248bc3f,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
b2d9a8fd-26dd-4b8a-b1c2-72af24345678_1,b2d9a8fd-26dd-4b8a-b1c2-72af24345678,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
85d6e8af-2a0f-4fdb-b97b-9748f4306bd2_1,85d6e8af-2a0f-4fdb-b97b-9748f4306bd2,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
44ea67af-a429-4b42-954e-8e4da73105ce_1,44ea67af-a429-4b42-954e-8e4da73105ce,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
8e22f5a4-7655-45e4-ae15-a0ff93772ef5_1,8e22f5a4-7655-45e4-ae15-a0ff93772ef5,blank,,44QYC,,,,,,,,,human,Peter Desmet,,,,
f011d0e6-bb8b-4d90-a8de-ac5f4aa0646d_1,f011d0e6-bb8b-4d90-a8de-ac5f4aa0646d,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
b3374ef1-9b71-47a4-9c86-e56491b9d51e_1,b3374ef1-9b71-47a4-9c86-e56491b9d51e,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
1c601054-f435-4f12-bc32-a0d120b33f63_1,1c601054-f435-4f12-bc32-a0d120b33f63,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
b43f1608-acb7-46f4-a601-706942323b13_1,b43f1608-acb7-46f4-a601-706942323b13,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
